Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,"좋아,용",https://x.com/Like_Yong910221,Like_Yong910221,False,2018-01-31 11:52:05+00:00,False,"180116 #마마무 평창동계올림픽 성화봉송 출근길 영상

늦었지만 오늘도 네 생각이나...♡
#문별 #휘인 #화사 https://t.co/S6vEasCMc5",958669208497221632,https://x.com/Like_Yong910221/status/958669208497221632,0,215,398,0,1,https://pbs.twimg.com/ext_tw_video_thumb/958668446685741056/pu/img/C1gSPbodxlQMIgrN.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,#마포호랑이#,https://x.com/sada69c59,sada69c59,False,2018-01-31 13:07:50+00:00,False,청와대 평창 동계올림픽 초청장 받은 이명박 이런 사람도 대통령 예우를 해야 하나 온갖 비리 저질러 국민 힘들게햔 역적놈을 초청 해야 하는지 대다수에 국민들은 평창올림픽 관람이 아닌 감방에 보내는걸 원하고 있을것이다 https://t.co/dBIpqlDubg,958688272435232768,https://x.com/sada69c59/status/958688272435232768,6,51,32,0,0,https://pbs.twimg.com/ext_tw_video_thumb/958686872783405057/pu/img/aC-0vQXbOD6b_j-7.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,대한민국 외교부 MOFA_KR,https://x.com/mofa_kr,mofa_kr,True,2018-01-26 10:42:02+00:00,False,외교부와 평창 동계올림픽 및 패럴림픽 조직위원회가 공동으로 ‘한국 평창의 밤(Korea PyeongChang Night)’을 개최하여 다보스 포럼에 참가하는 세계 각국의 고위급 인사와 기업인 등을 대상으로 평창 동계올림픽 및 패럴림픽 홍보에 나섰습니다. https://t.co/5ztTDPsssl,956839642623500288,https://x.com/mofa_kr/status/956839642623500288,7,310,259,0,0,https://pbs.twimg.com/amplify_video_thumb/956836359116767232/img/iEIyPLv-Pqt0kicP.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,올림픽,https://x.com/Olympic,Olympic,True,2018-01-07 06:52:49+00:00,False,"피겨 스타 최다빈 선수의 평창 올림픽 출전이 확정됐습니다. 축하합니다!⛸❄️👏👏
#최다빈 #피겨스케이팅 #평창동계올림픽 #2018평창 #올림픽 #pyeongchang2018 #figureskating #olympics @pyeongchang2018 https://t.co/CARHN4x3qr",949896589102931968,https://x.com/Olympic/status/949896589102931968,1,211,251,0,1,https://pbs.twimg.com/ext_tw_video_thumb/949896227969052673/pu/img/MxHkMmmOMIgP6r0p.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,은하의 마젤란,https://x.com/magellan530,magellan530,False,2018-01-31 09:34:57+00:00,False,"180124 평창동계올림픽 선수단 결단식 대기 엄지 직캠
#엄지 #여자친구 #umji #GFRIEND
무슨 말인진 잘 몰랐지만 몸짓 표정 다 써서 버디들한테 표현해주던 모습이 얼마나 귀여웠게요😢 예원이가 하고 싶었던 말 여러분도 맞춰보세욤
📹 4k https://t.co/0PpW7TfxzD https://t.co/FsSCoaowhQ",958634698107846656,https://x.com/magellan530/status/958634698107846656,1,250,363,0,3,https://pbs.twimg.com/ext_tw_video_thumb/958630988145291264/pu/img/WD22Bxb8ELalv1X8.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,전현희 의원실,https://x.com/elysiaj315,elysiaj315,False,2018-01-30 07:00:43+00:00,False,"오늘 더불어민주당 의총에서는 평창동계올림픽의 성공적 개최를 기원하는 작은 기념식을 가졌습니다. 평창은 평화고, 평창은 경제고, 평창은 통합입니다! 성공적인 평창동계올림픽 개최를 위한 SNS 릴레이 캠페인이 이어질 예정인데요. 많은 관심 부탁드립니다^^ #전현희 #평창동계올림픽 https://t.co/EYsc74YTJW",958233497264533504,https://x.com/elysiaj315/status/958233497264533504,8,367,339,0,0,https://pbs.twimg.com/media/DUxURCoU8AAgPzT.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2018-01-23 22:23:07+00:00,False,"남북 단일팀 저지 호소 서한 IOC에 보낸 나경원, 평창올림픽 위원직 파면 국민청원 20만명 돌파하자,

""정권 지지자들의 청원, 올림픽위원직 파면은 조직위 권한으로 한국정부가 왈가왈부 못 해""

남북 간 있었던 가장 극적인 화해의 몸짓에 재뿌린 자위녀는 아베의 기쁨조냐? 국민청원 100만명 채울것 https://t.co/i3xeMfyqO4",955928910419648512,https://x.com/usminjooforum/status/955928910419648512,56,697,440,0,0,https://pbs.twimg.com/ext_tw_video_thumb/955928789237694464/pu/img/jRaZ-5I-iCBg2dzR.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,여름추위,https://x.com/younha2002,younha2002,False,2018-01-31 13:22:27+00:00,False,"자랑합니다^^ 평창올림픽 경기 표가 오늘 도착했어용~아,떨려요^^ https://t.co/HnDe0azHAy",958691949510246400,https://x.com/younha2002/status/958691949510246400,0,16,24,0,0,https://pbs.twimg.com/media/DU31NxiVMAARer7.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,문화체육관광부,https://x.com/mcstkorea,mcstkorea,False,2018-01-29 07:00:37+00:00,False,"어제(1/28)저녁, 진천선수촌에서는 작은 생일 축하 파티가 열렸습니다. 여자 아이스하키 단일팀에서 생일을 맞은 북측 선수가 있었기 때문인데요. 평창동계올림픽을 준비하는 바쁜 하루하루 중에 잠깐, 따뜻한 휴식 시간이 생겼네요.

#평화올림픽 #2018평창
(사진 출처: 대한체육회) https://t.co/uJlVbegrW1",957871085210316800,https://x.com/mcstkorea/status/957871085210316800,12,249,191,0,0,https://pbs.twimg.com/media/DUsKEFcVAAApVsx.jpg;https://pbs.twimg.com/media/DUsKKkpVQAE4-Ov.jpg;https://pbs.twimg.com/media/DUsKjedVAAApjVv.jpg;https://pbs.twimg.com/media/DUsKmFrUMAAYZiK.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,파란신호등_북미민주포럼,https://x.com/hyekim821,hyekim821,False,2018-01-22 19:03:27+00:00,False,"나경원 ""평창올림픽이 ‘평양’올림픽""이라며 항의 서한 보내더니, 
IOC로부터 답장도 못받아!!

6년전 평창스페셜동계올림픽때는 북한에 초청 서한보내더니,
기억상실증에 걸렸나?
 
평창동계올림픽 북한참가를 ""정치도구화""로 규정한
나경원 평창올림픽 위원은 자격미달자로, 파면시켜 영구제명해야!! https://t.co/ANWzOTKT7E",955516277019299841,https://x.com/hyekim821/status/955516277019299841,10,284,161,0,0,https://pbs.twimg.com/ext_tw_video_thumb/955514679886934016/pu/img/hrJ82OWQd3g0Hin1.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,문재인정부 청와대,https://x.com/TheBlueHouseKR,TheBlueHouseKR,False,2018-01-21 08:02:48+00:00,False,"&lt;평창올림픽 관련 윤영찬 국민소통수석 입장문&gt; 2018.01.21 (일)
평양...평창...평화
북한의 평창 올림픽 참가와 여자 아이스하키 단일팀 구성을 놓고 일부 언론과 정치권이 우려의 목소리를 내고 있습니다. https://t.co/dHyU08UIA1",954987629715451905,https://x.com/TheBlueHouseKR/status/954987629715451905,104,1379,1332,0,0,https://pbs.twimg.com/media/DUDMKl6U0AUCqUq.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,전현희 의원실,https://x.com/elysiaj315,elysiaj315,False,2018-01-22 00:04:11+00:00,False,"이명박 정부 시절, 96%의 여야의원들이 찬성하여 통과된 평창특별법에 따르면 남북단일팀 구성에 관하여 행정적, 재정적 지원를 할 수 있도록 명시하고 있습니다. 평창동계올림픽의 성공을 위해서는 여야가 합심해야 할 때입니다. https://t.co/hcO4IVyNpt",955229570776494081,https://x.com/elysiaj315/status/955229570776494081,22,643,414,0,0,https://pbs.twimg.com/media/DUGoOPYVwAAil0J.jpg,False,,,,,ko
(평창올림픽 OR 평창동계올림픽),https://x.com/search?q=(평창올림픽 OR 평창동계올림픽) lang:ko until:2018-02-01 since:2018-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2018-01-21 22:46:20+00:00,False,"나경원, 런던 스페셜 올림픽때 남북단일팀을 그렇게 주장하더니, 
IOC에 '남북 단일팀 저지' 호소 서한보내!!

서울 한복판에 일왕 생일잔치 뻑적지근하게 차려 준 자위녀,
남북한 단일팀 훼방놓는 이유가 아베때문인가? 

MB와 503호때 동계올림픽 평창으로 유치해서 국민세금 얼마나 쏟아 부었나? https://t.co/ToXuoYr9BI",955209980101169154,https://x.com/usminjooforum/status/955209980101169154,31,677,360,0,0,https://pbs.twimg.com/ext_tw_video_thumb/955209794226348032/pu/img/_st57X2iap5dbamb.jpg,False,,,,,ko
