Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,도꼬/どっこ🐾🇰🇷🇯🇵🔜🤫,https://x.com/Dosukkoi,Dosukkoi,False,2019-01-24 06:54:12+00:00,False,"일본의 괴상한 부동산 매물들

1. 모든 방에서 화장실 접근 가능
2. 얇고 긴 방에 끄트머리에 변기
3. 모든 방에 샤워실
4. 설명 생략 https://t.co/dadxLfFcaD",1088329102593908736,https://x.com/Dosukkoi/status/1088329102593908736,12,5852,1154,0,120,https://pbs.twimg.com/media/DxqFh6gVYAAkDgX.jpg;https://pbs.twimg.com/media/DxqFh6VVYAATYQI.jpg;https://pbs.twimg.com/media/DxqFh7rUYAADbVi.jpg;https://pbs.twimg.com/media/DxqFh6UVAAAO2n5.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-14 05:08:16+00:00,False,"나경원 ""문재인 정부 신년사 통해 일본정부 자극한 게 아닌지 의문""
“일본 자민당은 끊임없이 개혁하는 전세계 대표적인 보수정당”

국민들이 분개하는 일본 초계기 사건에 입도 뻥긋 안하고,
문재인 대통령 신년사에 일본정부의 반응이나 걱정하는
나경원은 21세기 친일파다.

일본 걱정에 잠은오냐? https://t.co/Azbv0nihci",1084678564061024259,https://x.com/usminjooforum/status/1084678564061024259,196,1409,873,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1084678421849014272/pu/img/lia4SGEQcQvCTOII.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-24 02:24:07+00:00,False,"일본 해상 자위대 초계기,
이어도 해상에서 작전중이던 대조영함을 추격,
고도 60미터로 공격모의 비행,
돌발사태 발생!
 
일본은 선전포고 없이 진주만 공습을한 국가,
아베, 적대국에하는 무력충돌을 유도하고 있다.

일본 자위대 창설기념식에 축하하러 다니는 친일파들,
국가기밀 유출이 우려된다. https://t.co/cNLgnmlQdL",1088261130320052225,https://x.com/usminjooforum/status/1088261130320052225,51,644,493,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1088261022572531713/pu/img/-JWYHtRQ7-iuYhuX.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-24 19:55:20+00:00,False,"일본 초계기 ‘위협비행’ 덜미 잡혀!

국방부, 대조영함 레이더 화면공개 “기계는 거짓말하지 않는다”
발뺌하는 일본에 증거로 제시, 초계기 540m 접근장면도 찍혀~

일본의 도발에 나라의 안위는 안중에 없고,
일본걱정에 노심초사하는 나경원,
나라를 일본에 통째로 갖다 바친 친일앞잡이와 판박이다. https://t.co/GEtmFlfB75",1088525681233940481,https://x.com/usminjooforum/status/1088525681233940481,31,763,516,0,2,https://pbs.twimg.com/ext_tw_video_thumb/1088525590016204800/pu/img/lrPXgbLbu4aQWm0E.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,KTV 국민방송,https://x.com/Mylife_KTV,Mylife_KTV,True,2019-01-15 08:40:59+00:00,False,"#이낙연 #국무총리 는 12일 ""일본이 지도국가에 걸맞은 존경과 신뢰를
아시아 국가들로부터 받기를 바란다""고 말했습니다.
이 총리는 이날 의암 #손병희 선생의 묘소를 참배한 뒤 이같이 밝혔는데요
#3·1운동_100주년 을 맞아 이뤄진 뜻깊은 묘소 참배와 총리가 남긴 메시지, 영상으로 확인하세요. https://t.co/lr0Qj31Rev",1085094483971137537,https://x.com/Mylife_KTV/status/1085094483971137537,1,145,189,0,2,https://pbs.twimg.com/media/Dw7mbuiUUAAKczC.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-17 00:03:52+00:00,False,"해군, 굴종을 요구하는 일본에 “우리도 자위대 함정 위로 저공비행하겠다.”

북한어선 구조활동하는 광개토대왕함 위로 사전 통보없이 접근해 동영상 촬영, 공대함 공격이 가능한 추격비행 도발을 한 자위대,
군사기밀 레이더 정보 통째로 요구!!
 
대한민국 해군함정이 일본 자위대 2함대로 착각하냐? https://t.co/a4kEJ8ihCm",1085689121597804544,https://x.com/usminjooforum/status/1085689121597804544,25,380,236,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1085689051842260993/pu/img/9P3L7Xg8qNRO7oRj.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-03 01:23:28+00:00,False,"국방부, 일본 초계기 위협비행에 강대강 대응기조,
""저공비행으로 우리 함정을 위협한 일본이 분명히 사과해야""

한국이 일본에 사죄해야 된다는 아베의 일방적 주장,
더이상 용납못해!

국익위해 단결해야 된다며?
자한당은 왜 꿀먹은 벙어린가? 
이래서 자한당을 지지할수 없다고 생각하시면, RT 꾹~ https://t.co/2Lq189vGtm",1080635721940172801,https://x.com/usminjooforum/status/1080635721940172801,21,676,447,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1080635291080314882/pu/img/VHxIPIVoiZzFhRuh.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-17 15:40:19+00:00,False,"아베의 절친 나경원,
“영부인의 절친 손혜원의 부동산 투기, 초권력형 비리다.”

수십년간 불꺼지고 썩어가는 목포 구도심,
살려내자는 것이 초권력형 비리냐?
손혜원은 의원직과 목숨까지 건다고 했다.

“우리엄마는 국회의원 나경원입니다.""
성신여대 특혜입학한 딸,
초권력형 사학비리에 뭘 걸꺼냐? https://t.co/pstWSStYU0",1085924789208911873,https://x.com/usminjooforum/status/1085924789208911873,22,395,252,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1085924270138638336/pu/img/WU52QQQ98bvKtwoZ.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,북미 민주포럼,https://x.com/usminjooforum,usminjooforum,False,2019-01-07 02:17:12+00:00,False,"국방부 “일본측 주장을 반박하는 6개국어 자막 동영상 추가로 공개할 것” 한글, 영어 동영상 조회수 200만 회 돌파~!!

일본, “한국 함정에서 레이더 쐈다” 
한국, “구조활동하는 광개토대왕함 바로위로 일본 초계기가 위협비행을 했다.”

""한국이 잘못했다""고 장황하게 설명하는 조갑제, 정체가 뭐냐? https://t.co/gpU0iysFwn",1082098799252774914,https://x.com/usminjooforum/status/1082098799252774914,28,391,299,0,0,https://pbs.twimg.com/ext_tw_video_thumb/1082098725390970880/pu/img/w0u11LOtEG9LZgZn.jpg,False,,,,,ko
일본 불매,https://x.com/search?q=일본 불매 lang:ko until:2019-02-01 since:2019-01-01&src=typed_query,Fall .... 🌝 이재명도 윤석렬도 극혐,https://x.com/Fall6634,Fall6634,False,2019-01-14 13:42:56+00:00,False,"친일기업 농심 의 TV CF 가 
요즘 부쩍 늘었습니다. 
농심이 자신들의 나라 일본으로 
돌아갈때까지 불매는 쭈욱 ~ https://t.co/PuirBnZDfw",1084808084105482240,https://x.com/Fall6634/status/1084808084105482240,0,3,5,0,0,https://pbs.twimg.com/media/Dw4DMecVAAIYekK.jpg;https://pbs.twimg.com/media/Dw4DMebUYAEJ7yo.jpg;https://pbs.twimg.com/media/Dw4DMeiVYAEquPR.jpg,False,,,,,ko
