text,time
"순수 불매운동이라기보단, 국내제품 판매업체들이 동참많이한다 자기들 매출올리려고",5년 전
"한국이 아사히 맥주하고 유니클로 안팔아준다고 그 거대한 기업이 휘청? ㅋㅋㅋㅋ 
한국법인이 휘청거리겠지.....",5년 전
"ㅋ 개보다 더한것들 ㅂㅅ들 ㅋㅋㅋ 불매운동 이지랄  유니클로 기준 일본에 피해준게 0.000067% 인데 왜해 ㅋㅋㅋㅋㅋ 
걍 집에서 일장기 태워라 걍 나처럼

그리고 겐조 일본꺼 아니야 빡대가기 새끼들아 ㅋㅋㅋㅋ 나 친일파 아니다 알아둬라 ㅋㅋㅋㅋㅋㅋ",5년 전
"일본 제품을 사는 사람이 매국노가 아니라 불매 운동을 부추 기는, 문재인이 매국노입니다.  이대로라면 대한민국은 없습니다 조선 민주주의 인민 공화국에 흡수됩니다.",5년 전
유니클로보다 더 악질적인 일본기업  DHC입니다.,5년 전
기껏한다는게 옷쪼가리안사고 안마시고. 참나 일본의3분의1도 타격안받는건알고있는지,5년 전
풉 불매래 병신들 불매 하는데 일본 카메라로 찍는 뉴스보누 ㅋㅋㅋ일본 카메라로 찍어서 송출하는 방송보져?? ㅋㅋ,5년 전
칭따오대주주가아사히맞나요?,5년 전
장사잘될땐 일본에서 식재료 공수해온다하고 장사안되니 국산대료라며 억울하다하고 적당히해라,5년 전
하여간 깽깽이 냄새나는 구더기 득실대는 전라도 암 수컷들은 ..!!!!!,5년 전
"다른 편의점은 안가봐서 모르겠는데 cu어이 없네요 
원래 수입맥주 한개는 3000원 4개구입하면 1만원에 행사했는데 이번 불매운동에 참여한다고 해서 일본산 맥주만 4개 행사 제외 한건데 그냥 가격을 2500원으로 내려버렸네여 그럼 일본산 맥주를 더 도와주는 꼴 아님요??",5년 전
미쳤어...다들...뭐 단체로 정신병이라도 걸렸나봐...미쳤어....,5년 전
"이쑤시게 하나라도 일본제는 안산다  휴지 하나라도 일본제는 안산다  
확실히 보여 줄꺼다 !!  목숨걸고 불매 100% 갑시다 !!",5년 전
님들 진짜 미친듯 거기서 일하는 사람은 뭔죈데,5년 전
일본이 10억 손해라면 우리는 10조가 손해다  문통지지하는자들은  알고있는가   북한이  미사일 쏘대는건 한마디도 없네,5년 전
일본 나빠,5년 전
개돼지선동바께대책이없냐,5년 전
일본꺼 외삼? 국산이 더 맛있음 일본꺼 너무 담 먹으면 당뇨걸릴 각임.,5년 전
여기에 반박하고 싫어요 누르는 너네들이야말로 친일파지 ㅅㅂ,5년 전
"일본불매운동도 애국이지만 
왜 일본이 경제보복을 하는지도 함께알아보길",5년 전
그냥니갈길가 이사람저사람 뭐라뭐라해도 다부질없어 그런다고잘사는것도아니고 나라경제가살아 나는것도아니고,5년 전
"지금 시국에 아사히,삿포로 맥주잘못마셨다가 ㅈ된다ㅋㅋㅋㅋ 갸스키들아 나처럼 카스 마셔 걍ㅋㅋㅋ",5년 전
댓글보면  정말웃음만 나오네    아무나 불매운동 한다고 일본까내리고 날리피우는데 나도 역사땜에 일본은 싫지만 선빵은 한국이 했고    불매운동  원인은 우리나라한테있는거다  이미한달사이  우리는 일본에 2배3배도아닌    엄청난 손해를 받고 반도체기술은 어케할건가  우리나라가 한다해도  몃년이상 걸리고 이대로 가면 우리나라IMF보다 심각한 상황까지 와버린다  지금 아무나  불매운동해서 으싸으싸하는데 몃년도못가고 올해안에 끝나길 빈다 나는   이대로가면 나라망해 이것들아    알고 짓거려  참고로 IMF시절 잘이겨와서 걱정 없다 하는데 요번은 애기가 달라  이미 우리나라는   잘살는 사람과 못살는 사람  차이가 확실이 생겼고   IMF보다 더하면더했지  엄청 심각한거란다 정말 선동 오지네 언론도ㅡㅡ  나라 망하고도   그런소리 나오나보자  아그리고   당장   일본 제품  먹는거 다 안먹고 안쓴다하는데 자기도 모르게 쓰고 먹고 하는거 겁나 많어 당장 자동차부터  타지마라 다들 .  금값도 갑자기 오른거보면  조짐이 보이긴하는거 같다  에효 정말 나라가 조용할 날이없네  ㅉㅉ 그리고 제발 정신좀차리고  알고라서  몰하든  짓거리든하자,5년 전(수정됨)
촌닭같은 유니클로 옷 왜 입나요.,5년 전
