Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",Ан,https://x.com/anzinne,anzinne,False,2024-01-30 23:51:38+00:00,False,챗지피티 이상한 답변 같다. https://t.co/ykdqeEuNsK,1752479715624161601,https://x.com/anzinne/status/1752479715624161601,6,160,72,16945,4,https://pbs.twimg.com/media/GFIPA8ObwAAq0Db.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",밴드광쇼타아저씨,https://x.com/uscho1122,uscho1122,False,2024-01-29 15:06:01+00:00,False,지피티랑 신스비 합치면 샤론애플이랑 뭐가다른거여 https://t.co/H2a0huQvK9,1751985053608091878,https://x.com/uscho1122/status/1751985053608091878,0,1,1,178,0,https://pbs.twimg.com/media/GFBNHxCbsAAeYNN.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",이트루,https://x.com/leetrue16,leetrue16,False,2024-01-31 15:40:52+00:00,False,오늘 챗지피티 써봤는데 자꾸 헛소리해서 기분이 상했었다 https://t.co/3IezhqKkdB,1752718596986552534,https://x.com/leetrue16/status/1752718596986552534,1,0,10,811,0,https://pbs.twimg.com/media/GFLoRhCbMAAAvLi.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",사인,https://x.com/notthatvanilla,notthatvanilla,False,2024-01-30 16:34:42+00:00,False,오늘 나눈 대화를 챗지피티가 요약해준 것. https://t.co/zmiYJgBkEb,1752369758744571945,https://x.com/notthatvanilla/status/1752369758744571945,0,0,10,478,0,https://pbs.twimg.com/media/GFGq_gXasAAHn6c.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",🕯포쨔◟₍ᵔ·͈༝·͈ᵔ₎◞천국,https://x.com/POCHAA_TR,POCHAA_TR,False,2024-01-29 09:42:07+00:00,False,"이거뭐 나만
웃다가 갑자기 챗지피티처럼 
나빠.
이러는데 츠바츠루 졈한테 악감정있나(그럼없겠나요) https://t.co/le6XZ1ClGI",1751903538844938293,https://x.com/POCHAA_TR/status/1751903538844938293,0,0,1,101,0,https://pbs.twimg.com/media/GFAC-3ha0AASYEe.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",Hesla.multibrid,https://x.com/Hesla_Renina,Hesla_Renina,False,2024-01-31 08:29:22+00:00,False,Gpt활용을 어떻게하는가에대한건 https://t.co/W7ntS7rRNh,1752610008255377834,https://x.com/Hesla_Renina/status/1752610008255377834,1,1,2,868,0,https://pbs.twimg.com/media/GFKFgm8aEAAzyyS.jpg;https://pbs.twimg.com/media/GFKFg4PaEAAm_PI.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",랖,https://x.com/CqYellow,CqYellow,False,2024-01-28 23:14:27+00:00,False,내가 앱으로 그린 레이아웃을 주고 주택의 외장을 디자인해보라고 챗지피티한테 시켜봤다 많이 보던 것들인데 무난하군 https://t.co/HWc7RcufGE,1751745584745308637,https://x.com/CqYellow/status/1751745584745308637,2,0,8,510,0,https://pbs.twimg.com/media/GE9zUula8AAB5eZ.jpg;https://pbs.twimg.com/media/GE9zU4VaQAAA5hX.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",후야,https://x.com/imhuyaaa,imhuyaaa,False,2024-01-30 09:22:54+00:00,False,"아니 뢰알.
진짜 걍 오빠의모든것이담긴포스터네요. 오빠의정수네요. 챗지피티한테 루이톰린슨을이미지로요약해줘 하면 이거나온다네요. https://t.co/n18RIuaVjB",1752261091026198686,https://x.com/imhuyaaa/status/1752261091026198686,0,1,3,520,0,https://pbs.twimg.com/media/GFFILOkasAEtWZT.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",모고,https://x.com/I_am_dori__,I_am_dori__,False,2024-01-30 19:41:30+00:00,False,챗지피티로 우성태섭 말아옴 https://t.co/K2rMve02Yv,1752416767463530985,https://x.com/I_am_dori__/status/1752416767463530985,1,2,4,628,0,https://pbs.twimg.com/media/GFHVwn3aAAAm5Cc.jpg;https://pbs.twimg.com/media/GFHVwn4acAACB_4.jpg;https://pbs.twimg.com/media/GFHVwn2awAAre9O.jpg;https://pbs.twimg.com/media/GFHVwn5asAAZfG0.jpg,False,,,,,ko
"(""지피티"" OR ""gpt"")","https://x.com/search?q=(""지피티"" OR ""gpt"") lang:ko until:2024-02-01 since:2024-01-01&src=typed_query",팩-지피티,https://x.com/kim_Factorial,kim_Factorial,False,2024-01-31 17:21:04+00:00,False,와씨발나다음주까존나엄지만쪽~쪽빨고있을라고 https://t.co/dXq9ATwS4Z,1752743815281311765,https://x.com/kim_Factorial/status/1752743815281311765,0,0,1,118,0,https://pbs.twimg.com/media/GFL_NicbAAE3yED.jpg,False,,,,,ko
