text,time
"To study in Koria news and social media and find the answer is only that HYBE ( Pig BangShiHek hiding dark back ）betrayed before to destroy the Contracts with MHJ and NJ. So, HYBE is going bank off thus without money to pay for MHJ🎉🎉🎉",6개월 전
"PIG BANG ,show up to say something.HYBE Bang must pay to NJ and MHJ for punishment of betray.The biggest Betrayer is always refer to Pig Bang 😮😮😮Bang and HIBE go to hell right now and that is running now.🎉🎉🎉🎉🎉🎉🎉",6개월 전
집에 강도가 들어와서 줘패도 피의자가 되는 세상이다 ...,6개월 전
뉴진스 멍청하다는 텅텅들아 미안한데 위약금이 6천억이든 얼마든 그거 다 벌어 던져줄 능력 되는 애들이니 니들 인생 걱정이나 해,6개월 전
이 멍청한것들아 계약관계인에게 감정을 호소하다니 이건 그냥 계약자간에 업무라고 봐야한다 거기서 감정까지 케어받으려고하니 ㅉㅉ 불쌍한것들 저 어린나이에 실수가 얼마나 평생 후회될일인지도 모르고,6개월 전
뉴진스를 응워나는 댓글이 진짜 뉴진스를 위한는 작자들이냐? 이건 그냥 뉴진스만 죽는겜인데 민희진 이 악녀 법률검토도 안받았덴다 ㅠㅠ,6개월 전
"여기 남자들 댓글 ㅈㄴ 웃기네
이성보다 감성 어쩌궄ㅋㅋㅋ
하 진짜 지겨웡",6개월 전
뉴진스 상표권이 있는데 못 사용한다늠데 포기못한다는 뭔솔.. 걍 다 감정적이잖아....;;;,6개월 전
아니 같은 사업자 위치라며... 뭔 보호야 😅,6개월 전
"동덕여대 정신병자들이랑 정확히 똑같은 세계관이네....

 내 기분이랑 내 감정대로 사회와 법이  따라야한다??
내 대학이 여성 대학이어야하고 내 회사 대표는 내가 원하는 사람이어야한다??
내기분을  받아들이지 않은 상대방에게 모든 책임이있다 ??
대한민국 법정에  나의 일기장을증거로 제출 합니다??? 
과학적 증거로진정하지 않으면 패악질 시작하겠습니다??
대신 락카칠 복구 비용이랑 위약금을 내가 몬 냅니다??  
지금 협박하세요??",6개월 전
"네버다이 뉴진스가 아니고 이대로면
네. 다이 뉴진스 됨",6개월 전
자세한 내용 모르겠으나 얘들은 뭐가 그렇게 시끄러운지.,6개월 전
동덕진스,6개월 전
"나몰라라~~~~~••
꼬숩다 팬들이 갖다바친 50억원 
다 위약금으로 반납해라 ㅋㅋㅋ",6개월 전
우리 진스 화이팅🔥💥,6개월 전
방구석 선생님들 너내나 잘하세요.,6개월 전
"KBS가 민희진과 관련있네. 1박 2일출연도,  슈퍼맨이 돌아왔도 그렇고 
뉴진스 사건 터질때마다 출연하네. 
연에인들 계약서 근로자 아닌거 민희진이 몰라서 청문회까지 출석시켰을까? 여론호도 목적인거 다 안다. 첨부터 뉴진스 멤버들 발탁부터 독립목적으로 하이브 이용 뜨고 무시해, 이슈로 인권침해로 까지 직장인도 아닌 미성년자 외국인 멤버 이용 이슈화 불쌍한 피해자인척  쇼한것. 
ㅡ28일 어도어측 답변 보냈다는데 뉴진스 기자회견 거짓말로 답변 없었다고 호도함. 
ㅡ계약위반 당사자들이 거짓말로 위약금 물것도 없고  뉴진스 이름사용 정당?  헛소리임. 
ㅡ법정다툼 최소 5년이상에서 10년임. 뉴진스는 활동불가. 개인활동도 마찬가지. 사실상 해체임.",6개월 전
"안타깝네.,.,.. 그냥 노래춤 만 신경쓰지,,,, 애들아 왜  해체수순으로 가냐 이긍?><",6개월 전
양쪽 동의하에 처음부터 도장찍고 계약서 쓰는건데 이건 법적 효력이 어마어마한건데 본인들 말 안들어준다고 이 계약은 해지합니다 이렇게 나와놓고 아직 법률검토도 안받았다라........................ 텅,6개월 전
동문서답 심하다,6개월 전
