time,text
1년 전,"야합뉴스  답다.
근거  없는 분석은 여전하군"
1년 전,이제 오염수가 퍼진 바다 됐는데 누가 엑스포 시켜주냐고ㅋ
1년 전,잼버리를 보고도 그 말이 나오냐? 엄청 응원했는데 실망이다
1년 전,"한국에 뭐 좋은거 하나 안터지먄 망할껏 같다
엑스포 제발 유치되길"
1년 전,응~~잼버리 때문에 망함ㅋㅋ
1년 전,민주당이 말아먹는 국격 ㄹㅇㅋㅋ
1년 전,부산 엑스포 반대 !!!!
1년 전,잼버리보고 안하는게 맞다고 본다 ㅋㅋ;
1년 전,쫌 잘쫌해가 꼭 쫌 되게 해보소
1년 전,"민주당은 유치하면 안되길 바라고 자빠져들 있겠지??
나라가 무너지길 손 모아 기도하는 것들이니"
1년 전,되겠냐고 젬버리때 그사단을 내는데.. 다른나라가 좋다고하겠다 이미지 다깍아먹고
1년 전,모든국민과 참여한 세계인 다함께하는 축제
1년 전,이탈라아 로마/리아드
1년 전,그들만의 축제. 그들만의 기쁨.
1년 전,선정 되면 뭐하노? 나눠먹기 하겠지.
1년 전,잼버리 2탄
1년 전,없는 것들은 닥치소 ㅋ
1년 전,아. 요즘은 텀블러하고 빽 팩 안매고 다니네??? 왜? 좀 쪽팔리지????
1년 전,"개소리마라
싸우디$ 오일머니가 각나라 돈으로매수 하는데 돈이길장사있냐
뭐 문씨는 뭐하나했냐
우능좋아하네"
1년 전,갑떨고.  있네.  법제자가 판을친다 불법. 입학.   시킨. 제가.  얼마나. 큰죄인.  줄도몰라.  다른.  부모들은. 몆백. 만원 들어 학원.   보낸다
1년 전,미친
1년 전,으그~기가찬다  그럼아무것도하지마 ?진짜모르는거야?
1년 전,"문정부 부터 내놓으세요
이예산이 어디에서 어디로간겁니까??
조국 잘아실듯
법무부전장관 몇개월"
1년 전,"자식들 편파한것은
그럼유능한것이냐??
자식들. 이제그만괴롭히세요
좀앉읍시다"
1년 전,예산 편성되어있다
1년 전,"나도 궁금
문재인 정부때부터
준비
까라
윤정부 당당히
문정부꺼도"
1년 전,참으로 뻔뻔하다 무슨 낯짝으로 머리를 들고 나오는가
1년 전,이쓰레기 같은 인간
1년 전,"윤대통령이라 19표 받았지 리죄명이었으면 한표받았을려나
범죄자새키주제에 어디서 씨부리노"
1년 전,아 소화안돼네
1년 전,증말.뻔뻔 스럽다.증발시켜쥐야합니다
