time,text
1년 전,윤석열 탄핵
1년 전,열받네요
1년 전,2찍 이 개휰키들 때문에 전세계바다가 방사능에 피폭됐다
1년 전,윤석열이 찍은 국민들아 이제 행복하냐?
1년 전,일본을 때려부셔라
1년 전,광우병 이적질 정구사 오마이 엠비시 사기탄핵 손석희 부정 선거 연구소 양산에 중공 개입 간첩 소굴
1년 전,세슘과 스트론튬이 더 문제인데 삼중수소만 언급하고 있네
1년 전,헛소리 하는놈들 아가리 벌리고 받아먹어라 !
1년 전,부산에 폐기물 처리장 세우고 있다는데 ㅠ
1년 전,"떡여리는 친일매국노라 대한민국이망해도눈하나꿈쩍않할놈이다 절때스스로는 물러나질않을것이다 탄핵만이답이다
 이놈은지지율1%나와도안물러난다고얘기한건허언아니고진심인거다 이재명당대표님과 민주당은 명심또명심하자 모든걸걸고 떡여리를탄핵시켜야 나라가바로선다"
1년 전,"에효~
바다에서 나는건 다 좋아하는데..앞으로 못먹을꺼라 생각하니..한숨만 나오네요.
그나저나 안먹으면 그만이지만 어업하시는분들 생계는 어쩌나요..ㅜ"
1년 전,"룬정부는 일본정부 2중대냐?
대한민국 국민은 당장 룬탄핵에 돌입하자!"
1년 전,"막아야됩니다. 하루빨리.
방류 못하게."
1년 전,"행복하게찌. 
이재명 빨리감방보내기를 빌면서
동후니 말에 똑똑하다고 감탄하면서. 
그런것들이거덩. 
2030세대들은 동훈니 말에 껌뻑 죽지 ㅋㅋㅋ
생각할 능력과 뇌가 없거덩. 책도 안읽고"
1년 전,아직도 일본이 방류하면 한국바다가 오염된다고 쳐믿노?
1년 전,팩트) 6.2밀리시버트 밖에 안되고 두명 다 아무 증상없어서 이틀만에 퇴원.
1년 전,알프스라는이름 허가받고쓰기는 하는건가?
1년 전,일본세리들을 믿는거나 지지하는 거나 뇌엄냐
1년 전,하면  안되는  일이야     !!!!!! 기씨다스끼야
1년 전,헐크가 곧 나올듯
1년 전,"오염수,당장,거두라,,일본은,반성하라,,"
1년 전,모지리   일본으로 보내자
1년 전,마셔도된다고 안전하다면서? 머냐 ?
1년 전,안전하다는 오염수에서 방사선 피폭이라니.... 저 오염수가 이래도 안전하냐ㅋ
1년 전,"일본 니들 아주 지랄 도 분수다.
참 힘들게 산다 니들"
1년 전,"청정수라고 하지않았나?
알프스
마이 무라"
