time,text
1년 전,"이스라엘은
하마스. 이란시리아 레바논
예멘을 
지구상에서 완전궤멸시켜야 한다
디시는 하마스같은 종자들이 생기지 않기 위해선
완전 멸해야 한다"
1년 전,이스라엘 응원합니다
1년 전,"눈에는 눈 이에는 이다 하마스 일당 가족을 인질로 잡아와 인질 맞교환 하면 된다 
전쟁을 일으킨 저들에게까지 사랑이 필요한 것일까요
주여 용서하소서"
1년 전,네타냐후잘하고있다.눈에보이는것은.다없애라
1년 전,먼저건드린 놈들은. 모조리 쓸어버려라 국제사회 뭐라고하든 ㅡ
1년 전,하마스나 가자시민이나 같다
1년 전,이스라엘 최고입니다!!!
1년 전,하마스는 투항하지 얺으면 뿌리를 완전히 제거해야 한다.
1년 전,대충해주면 민주주의와 타종교를 우습게 볼듯 이 때 모든 걸 정리하자
1년 전,둘중하나가 죽어야 끝나는가?
1년 전,"2차가정모대표로ㅡ사용하시기위해ㅡ만드신심재임ㅡ창조주하나님께서ㅡ심재임에게ㅡ어려운일을맡겼겠읍니까ㅡ하루일과ㅡ아침부터ㅡ밤까지ㅡ아는대로ㅡ더듬어ㅡ기록으로옮기는것ㅡ어렵지않읍니다ㅡ없는거짓을꾸며ㅡ채우게뒐때ㅡ앞뒤맞지않는ㅡ어려운글이뒈는것이지만ㅡ심재임앞으로준비해보내신ㅡ창조완료한페이지는ㅡ40년이지난지금도ㅡ자전공전처럼ㅡ변함없이ㅡ증빙증거자료ㅡ그대로간직하고있읍니다ㅡ토끼지도빨파38선ㅡ백악관ㅡ변함없이ㅡ보호중에있읍니다ㅡ500페이지ㅡ0,1%거짓가감할수없읍니다ㅡ심재임올림"
