time,text
1년 전,4:48 찢찢찢 고맙다! 미안하다!!
1년 전,이세키는 아직도 나오나 ㄷㄷㄷㄷㄷ
1년 전,니놈 주둥이에서 나오는 모든말은 거짓의 대명사.
1년 전,하는짓 마다 쇼로보인다 죄명아
1년 전,ㅅㅂ 난 이재명도 별론데 윤석열보단 낫다 그래도 ㅡㅡ
1년 전,미안하다 고맙다는 민주당 종특이노 ㅋㅋㅋ
1년 전,좌패색이들은 맨날 죽은사람한테 머가 그리 고맙다는건지 무슨 싸인인가?
1년 전,"안타까운 사고인건 맞는데 그놈의 진상규명으로 또 정치적으로 끌고가려는거 역겹다. 
좁은 골목에서 질서유지가 되지 않아서 발생한 사고인데 더 이상의 진상규명이 필요한가 생각됨.
난 오히려 좌파진영 의원이 앰뷸런스 한대가 사람을 몇명 살리느니 어쩌니 하더니 본인은 현장에 사진찍기 위해 남편하고 앰뷸련스를 콜택시마냥 불러 사용한 것에 대해 진상규명 할 필요가 있다 봄."
1년 전,"니 인생이나 추모해라.
앞으로 나올일 없을텐데.
니 가족 주디만 생각 했겠지.
저건 유전자 실패다.
뭐 저런게 다있냐.
사이코패스다."
1년 전,죄명아 후쿠시마는 어디갔냐? 단물 빠졌냐?
1년 전,애들이 순직이라도 했냐? 청년의 죽음이 왜 고마운데? 윤 정권 1년도 안 되서 죽어줘서 고마운거냐?
1년 전,마지막에 미안하다 고맙다ㅋㅋㅋㅋㅋㅋ
1년 전,ㅋㅋㅋㅋㅋ.......와우 채널A에도 개딸들이출몰했네
1년 전,"저놈들은  사람죽으면  문재인때 부터  
고맙다고  ..속마음 나오는  싸이코패스 들
미친놈들  범죄자  감옥에안가고  설치는
나라  바로잡아야 한다..난그거몰라 오리발전문"
1년 전,"희생자 천안함군인
사고사망 이태원참사"
1년 전,판교사건은 난모른다 ㅋ웃긴새끼 본인도 참석
1년 전,죽어줘서 고맙다?  무섭네요.
1년 전,니주위사람죽은건모른다고하는애가무슨말을하니형수한테도개잡질하는게무슨개소리그것도똥개짖는소리
1년 전,야
1년 전,여기 댓글 무서워 ㄷㄷㄷ
1년 전,4:49 고맙습니다???
1년 전,"본인 재판에나 출석 좀 하세요. 제발 반성하는 마음, 책임지는 태도로 성실하게 임해주세요"
