time,text
2년 전,우리세금도 좀살자
2년 전,머를 더울겨묵고싶냐 그만허거라
2년 전,"흰머리 죽는다드만 안죽었나
ㅎ???"
2년 전,민주당은 좋겠다. 세월호로  나라말아먹구. 이때원 참사로.  꽹과리 날리고싶겠네?
2년 전,세월호같이돈돈돈 서글프다ㆍ좋은일하다가 참사가난것도아닌데ㅉ
2년 전,"사고사흘전에 압사사고위험 보고서를 무시했고
압사사고전부터 신고전화를 무시한경찰과 상황실이 제일 큰 책임이 있는게 아닌가. 또 적극적으로 홍보하며 부추긴 mbc등 일부언론도 큰책임이 있다"
2년 전,빨리 진상규명해서 이임제구속시켜야
2년 전,진짜 몰라서 묻는건데 국가가 잘못한건 뭔가요?... 이태원 압사사고는 축제를 질서없이 즐기다가 발생한 사고인데 누가 가라한적 없고 국가가 주최하지도 않았는데요...
2년 전,ㅉㅉㅉ 또다시 싸구려 시체팔이 ㅠㅠㅠ물고기 떡밥 팔이와 똑같군 ㅉㅉㅉ
2년 전,뒤에서 밀어밀어 하고 부추긴 패거리가 범인이  아닌가?
2년 전,"제2의세월호제작중 이태원참사
이나라에 이런인간들이 판치고 있으니까 국민이 혼란스럽다
정부책임없고 아무도 그좁은 골목에 들어오라고 하지않았고 대통령은 이미 사과와 끝까지 조문을 하지않았는가 더이상 뭘 이쩌라 말인가 이세상에 억울한
죽음이 얼마나 많은가 백성들아
조용히 살아보자!!"
2년 전,시체팔이 장사들이 돈 많이 준데? 세월호처럼 돈벌려고? 자식들 시체로?
2년 전,사고  사고  ....... 당신들 마음만 중한가?    남에 자식진짜  억울한 사고에   당신들은 뭘햇나요?
2년 전,"이턔원 사고,원인 대책 챽임자 처벌 필요하다.
유가족 이자리 자발적으로 모였습니까?
정치권과 결탁 죽음을 이용하진 않는지?
1.본인 책임 2.부모 3,관련 부처
모두 국가가 다 책임져야 합니까?"
2년 전,이런걸 기획하는 민변이라는 단체도 한심한 인간들...
2년 전,"뭔 사건만 나면 대통령 책임져라? 정부가 뭘했나?
이런 말 하시는 당신들은 도대체 뭘했나?
슬픔강요. 진정한 사과?
이런걸 강요하는 사람들 어떤게 진정한 사과인가?
제발 정신들 차려라."
2년 전,나라를 구하려다 죽었나? 놀다 죽은거 아님? 설마 세월호때처럼 10년 가까이 나라를 장례식 분위기로 몰아 가려는건 아니겠지???
2년 전,뻐
