time,text
1년 전,개웃기네ㅋㅋㅋㅋ
1년 전,이런 넘이 서해 새만금의 새끼들이 짠하네~
1년 전,"윤석렬 한테 니 딸도 주그라. 맞느냐~
윤가는 고추가 안서니 ~니 딸도 주그라"
1년 전,닭그네가 여그서 만들었구만~
1년 전,원시인들. 저게 먹히는 원시국가.
1년 전,😂
2년 전,역시 모지리
2년 전,꼬끼오벼웅신~
2년 전,미친건가?
2년 전,🐕 소리
2년 전,꼬라지들 하고는
2년 전,개풀뜯어 묵는ㅇ쏘리 하네
2년 전,참으로  말문이막히네
2년 전,뭔 🐕 개소리야
2년 전,ㅋㅋㅋ ㆍ세상말세다
2년 전,추하다
2년 전,더러운인간
2년 전,"저것들 전부 국민의짐 소속ㅋㅋ
대단하다 
어디서 저런것들만 가득 모아 놨을까요"
2년 전,미친게아니야 병원에가라
2년 전,불쌍하다
2년 전,저색기 모야 모자라
2년 전,"별 ㅁㅊㄴㅇ 다 보겠네요
국짐당ㄴㄷㅇ ㅈㅅㅂㅈ"
1년 전,"하버드 로스쿨 법학석사인데 
폐지나 주우라니 못배운티가 여기까지나네요"
2년 전,"이재명 얼렁뚱땅예기하지말고 김혜경법인카드와
  이재명자택에서 숨진채발견되엿고
이재명 남자답게 진실된예기해랒게쎄끼야"
2년 전,이재명 살인자 사실대로 밝혀라
1년 전,윤두창이 나라를 말아먹는구나 그렇다고 찢이되도 나라 말아먹고😊
1년 전,"지금
망했다"
1년 전,걍 두놈 다 대선 나올 자격 없음 ㅋㅋㅋㅋㅋㅋ 국민들에게 선거기간 내내 고문을 시킨거임
1년 전,심상정 2.5퍼 누구냐? ㅋㅋㅋ
1년 전,윤석열 탄핵
1년 전,윤석열 저때 당시 낙선했어야해
1년 전,윤모씨 탄핵
1년 전,"석렬이 저때 낙선 시켰어야해 
ㅎㅎ"
1년 전,석렬이탄핵
1년 전,D-40 🎂🎂🎂
1년 전,윤석열 탄 핵!
1년 전,맞말 개추
1년 전,윤두창이랑 검찰이 조금만 덜 무능했어도 이 지경까지는 안 왔음 ㅋㅋㅋ
1년 전,윤석렬 탄핵 윤석렬탄핵
1년 전,"영암에서썩렬이좀 탄핵시켜랏 호오오오
ㅋㅋㅋㅋ"
1년 전,"썩렬이 저때 저날 탄핵 했으면 얼마나 좋노 춤춤춤춤춤 댄쓰 댄쓰 댄쓰 
ㅋㅋㅋ"
1년 전,썩렬이 떨어뜨려랏! 탄핵
1년 전,"영암 굿굿쓰 잘했더 
ㅎㅎ"
1년 전,7:40:55 역전
1년 전,민주당 대선 때 또찍어요 저요
1년 전,2022년에 국회의원 선거에서 0.7퍼센트로 졌어요! 그런데 재검표는 언제 하나요? 2024년 국회의원 선거 인천에서 재검표는 가을에 하겠죠!
1년 전,무역수지200위웬말인가
1년 전,이때에 감동을 4/10에 느끼고 싶어요! 제발 정상적인 나라가 되게 해주세요
1년 전,♡이번 총선도 똑 같을것 같아요
1년 전,2:38:53
1년 전,인천 계양구 후보토론보고 다시와서  보니 역시나 윤석열이 맞았다ㅋㅋ 다시가도 윤석열찍어야한다
1년 전,저때 민주당 압승이라고 자만하다가 역전해서 개 발렸죠. ㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,진중권은 다시봐도 쓰레기가 맞다
1년 전,자랑스럽습니다 윤대통령!
1년 전,다시 봐도 이재명같은 인간이 대통령 됐으면 어후 ㅋㅋㅋㅋㅋ 다시 돌아가도 윤석열 찍었을 거다.
1년 전,혜민이는 여기서도 지랄이노 너는 머리나 쳐 감고 다녀라
1년 전,저도여 꼭 국힘이 역전하길 바랍니다!
1년 전,이번에도 제발 그러길
1년 전, @jabankong0  지랄
1년 전,​@user-le2rt7rm2x긁혔네
1년 전,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,진중권 저 인간은 무슨 선거가 며칠 더 있었으면 뒤집혔을거라는 괴언을 하냐? 그게 말이냐
1년 전,지금봐두 짜릿합니다 ㅡㅡ
1년 전,암흑기였던 2017~2022.... 1919.3.1 우리나라가 해방되고 민주주의를 획득한 그 날이 이런 기분이었을까.. 내 한 표가 이런 결과를 만들었다는게 뿌듯하다
1년 전,"2찍인데 이번에 광주 이사왔습니다 ㅋㅋ
4월 선거 어디서 찍어야 하나요 ㅠㅠ 아직 전입신고안해서 본가로 주소 되어있습니다. (2찍당 지역 본가임)
광주에서 4월 국힘 찍는 의미가 있을까요? 사표되기 싫은데..."
1년 전,"근데 정치 잘 몰라서 그러는데
왜 대구,경북 ,광주 ,전라도 쪽은
한쪽으로 75~85%씩 표가 몰려있나요?"
1년 전,9:45:11
1년 전,정말 너무너무 통쾌하다 찢재명이 대통령 됐으면 얼마나 끔찍했을까 속이 다 시원하다 ㅋㅋㅋㅋ
1년 전,불행의 시작 😂
1년 전,10:55:14
1년 전,홍준표가 대통령이 되어야 하는데 윤석열 따리가 대통령이라니 찢 따리가 대통령도 난 못본다
1년 전,거니가 대통령시작한날이네 ㅆㅂ
1년 전,찢 멸망 이제 감옥 가야지 전과 4범이 무슨 대통령이냐?
1년 전,역대 대선에서 이명박 박근혜 홍준표 뽑았다 20대선때는 차마 윤석열 믿지못해서 무효표 던지고 나왔다 지금 돌아가는 꼴라지 보니까 내선택이 틀리지 않은거같다 여 야를 포함해서 이나라 지도자그룹엔 이제 희망이 없다 머지않아 30년이상 후퇴할거다
1년 전,우리나라가 망한기 시작한 첫날
1년 전,하늘이 이나라를 버리지않아
1년 전,7:41:38초부터 보심 되요 ㅋㅋㅋ
1년 전,10번쨰 보는중 찍갈이 찍갈이 아웃 ㅋㅋㅋ
1년 전,2찍들 부끄럽지도 않다면 인간이 아니다
1년 전,에휴..시간을 돌리고싶네
1년 전,무조건 국힘찍으세요
1년 전,조심하세요 주민들한테 걸리는 순간 염전노예춘식이 됩니다..
1년 전,거기가 양당 텃밭임
1년 전,김건희 >>>> 더불어재명당
1년 전,지금 당대표 하고 있쥬 찢이나 멧돼지나 대통령감 아니다
1년 전,하늘이 도왔다고 봄 겨우 이김
1년 전,그 날은 이때가 아닌 전 대선때....
1년 전,하마터면 북한한테 나라 넘길뻔했다 진짜
1년 전,찢이 되도 망했고 윤석열이 되도 망했지
1년 전,틀니앙 어서오고
1년 전,이재명되었음 어쩔뻔~
1년 전,ㄹㅇ...시간을 2017년으로 돌려서 홍준표가 되었다면 ㅠㅠ
1년 전,찢칠라가 드럼통에서 모습을 드러냅니다.
1년 전,ㅡ찢ㅡ
1년 전,우울할때마다 박영선 즙짜는거 보러 온다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,되도않는 기축통화 원화 얘기하며 나라 빚 더 낸다는 이재명은 저출산고령화 세계1위 한국의 미래에 끝내기를 날린다는 것입니다. 하늘이 도왔습니다.
1년 전,괜찮아 2등도 잘한거니까 울지마 찢갈이들아 ㅋㅋㅋㅋ
1년 전,봐도봐도 찡합니다 윤대통령화이팅!
1년 전,안철수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  어휴 불쌍해라 ㅉㅉㅉ
1년 전,1찍패배자들이 제일 보기 싫어하는 동영상
1년 전,유통 중간마진 확 잡아서 물가 안정되면 윤대통령 지지율 좀 올라갑니다!
1년 전,대선 2020년 이후 영원히 투표율 40%
1년 전,"진중권은 우파 유튜브  나오지
마라.."
1년 전,너국민 아무도 없다.깜방ㅈ가라
1년 전,너 사기꾼이 문제지
1년 전,"박영선 mbc직원이잔아..국민세금으로
연봉 챙겨가고..애라..이 십 .,"
1년 전,"이방송은 진중권.주박영선 ..
미치겠다.고민 너혼자해라"
1년 전,저당시 저자리에 진중권 있었나!
1년 전,윤석열 민심좀 잡아봐
1년 전,윤석열만세
1년 전,역시 지금 다시 보니 SBS방송이 최고었어요. 전체개표율과 1.2위를 동시에 발표하니51% 전국개표울때 골든 크로스가 나오잖아요
1년 전,47.8% 수명대로라도 살고 싶으면 지금이라도 정신차려요. 중국과는 이념도 다르고 거기 붙었다가 미국 서방과 파탄나고 이후에 결국 중국에 흡수적화통일 고속도로임
1년 전,"08:52:45 
이 지도를 보고 다시한번 깨달았다.
경기도 인천에 전라도인간들이 많이 유입됐다는걸 ㅋㅋ"
1년 전,"전라도사람이그리많으면 내편으로만들생각을해야지ㅋㅋ 백날그리생각하니 부정선거타령하지 
보수면 이준석응원하자 전라도타령그만하고 총선개망하겠다"
1년 전,진짜 다행이다❤
1년 전,이재명 체포동의안 가결 기념으로 다시 보러왔다
1년 전,20만명이 대한민국을 구했다
1년 전,찢죄명 체포동의안 가결된거 보고 왔으면 개추 ㅋㅋㅋㅋㅋ
1년 전,캬  이제 슬슬  윤석열 선택 한게 옳았다는게  나오고 있죠 ㅋㅋ  한명은  국위선양 쓰레기는  단식 아닌 단식 ㅋㅋ
1년 전,0:02
1년 전,"이재명의 보온병 안에 뭐가 들었을지
생각해봅시다 다들 ㅋㅋㅋㅋㅋㅋㅋ"
1년 전,아싸라비요 역대최고의대통령탄생
1년 전,고요의 시간이 진짜 제일 웃긴 듯 ㅋㅋㅋㅋ
1년 전,7:39:28
1년 전,노인네들이 다시한번 나라를 망침
1년 전,지금 보니까 돈 뿌려서 박빙 만든 거였다.
1년 전,"문재인 저 x신이 개혁은 안하고
성평등 노래만 불렀으니 ㅋㅋ
윤석열 당선 1등공신 
근데 문재인 자기집은 남자가
지켜요 ㅋㅋㅋ"
1년 전,"경기동부연합 이재명 오른팔
정진석이 유동규에게 한 말 “대한민국을 먹자“
찢 대통령 👈 보트피플 천만명,폴포트 천만 대학살 우려"
1년 전,윤석열 대통령 당선
1년 전,개시발 모지리역사의 시작ㅋㅋㅋㅋㅋㅋㅋㅋ
1년 전,역사의 시작
