time,text
1년 전,"<‘묻지마 범죄’는 없다 : 길 위의 살인자들> 전반부🔽
https://youtu.be/AxpDz5HG2cM"
1년 전,"부산 돌려차기 피해자 = 경상도 부산
신림 칼부림 피해자 = 경상남도
롤스로이스 피해자 = 대구
신림 너클 피해자 = 경상도

이건 애국보수 경상도를 테러하는 1찍들의 행태로 보이네요 
경상도 혐오를 멈춰주세요 ㅋㅋㅋㅋㅋ"
1년 전,클릭 안된다요
1년 전,클릭이  왜 안되나요????
1년 전,클릭안되는데요
1년 전,똑같이해주자. 개인간
1년 전,살인자는 사형에 처하여 원혼의 넋을 위로하라
1년 전,어떤삶을 살았었든 사형 무기징역이 맞다 판사들아!!!
1년 전,그냐  자살하지. 왜
1년 전,"판결 어째나왔노~?
20년 나왔겠나?"
1년 전,"살인을 저지른 사람은
똑같은 방법으로 사형시켜야 합니다
똑같은 고통을 느껴봐야
죽어서라도 반성할수있겠죠"
1년 전,이런건 법이고뭐고 똑같이 쑤셔주는법 잇어야되는거 아닌가 맛을봐야 지도 아픈거 느끼지
1년 전,칼 버리세요? ㅡ 제발 칼 버려 주실 수 있으세요? ㅡ 그 말이냐?
1년 전,가진것없고 희망이없는 엠제트들이 앞으로 엄청난 수의 조선이 될것이다
1년 전,힘들게 했던 사람한테는 무서워서 못하면서
1년 전,조국이 생각나
1년 전,성장시기에 오냐오냐로 컸다면 성인이 되었을 때 사회와 실패의  맛을 받아들이기  힘들어 한다. 사회의 사람들을 못된 인간으로 보인다?
1년 전,칼 버렷~~~~ 하고 단호하게 말해야지. 칼 버리세요가 뭐냐
1년 전,"또 조씨야? 조씨들은 왜 이렇게
범죄자가 많은겨?"
1년 전,칼 버리세요.....ㅋ
1년 전,"삶이 넘 힘들다보니    인간이 이성을 상실한경우
모두가  기본적인 삶을 살수있도록  정부는 도와야합니다😊"
1년 전,"칼 버리세요?
이게 무슨 말투냐!
존칭을 다 쓰냐"
1년 전,잘못산거 인정하면 조용히 살았어야지...조금만 더 참고 자숙하며 살았더라면.. 대박날 인생이었을건데.. 안타깝다..
1년 전,나쁜놈의 ㅅㄲ 욕밖에 안나온다 그것 밖에 안되는 놈이니 세상 살이가 힘들었지.. 세상을 원망 말고 지 자신 부터 알고 살아야지
1년 전,사형이 정답이다 왜 아무런 관련없는 사람을 무참히 살해해도 무기징역이 최고형이냐고 사법부 인권위 반성해라
1년 전,"아들 있는 입장,이라 가끔 조선 놈 법죄자 신청하게 되면 피해자 학생 가슴이 너무 아프네요~~!"
1년 전,최소 흉악범한텐 극존칭 쓰지말자. 칼 버리세요 ..존칭 거슬리네.
1년 전,힘들다는 사람 두부류가 있지. 자살하는 사람.살인하는 사람. 자살자는 그나마 양심적임
1년 전,그냥 사형시켜라 살다나오면 더힘들건데 사람더죽인다
1년 전,출소하면 열심히살다. 힘들어서 또죽이겠네. 국가기관이  예비범죄자다.
1년 전,대통령이 맨날 자유 자유 하더니 공권력도. 약하게 만들고 ㅉㅉ
1년 전,"감옥에서 일해서 돈벌어서 죽은청년 유족에게 평생갚게해라~
동생은 이제 형도없이 완전고아 된거같던데ㅜㅜ"
1년 전,그냥 혼자 죽지... 꿈을 갖고 살았을 젊은이들은 왜 죽이냐고... 조용히 혼자 죽던지 도움을 청할 곳을 알아보던지 .. 남한테 그러고 나면 영웅으로 볼줄 알았니.. 세상 살기 힘든데 정신도 온전하지 못한 사람들 때문에 더 힘들어..
1년 전,애미가 잘못 키워서 그래
1년 전,사쳥시켜라
1년 전,살인은  무슨일이든  하면  않됩니다.
1년 전,사형이 답이다
1년 전,"유리천장이 많아질수록
앞으로 자주벌어질 일"
1년 전,"열심히 살았는데 안되고 힘들면 지가 죽어야지.. 왜 남을 죽여ㅜㅠ 
사형때리고 제발 집행좀 하자!!!!!"
1년 전,사형법 만들자
1년 전,사형을 집행하라😮😮
1년 전,그냥 화형을 시켜라
1년 전,"절데 흙을 밟게 하지마라
법이 너무나 더러운법이라 저런것들이 나오는거 아니냐"
1년 전,힘들면 혼자 죽지..왜 죄없는 사람을 ㅜㅜ
1년 전,아..... 힘들면 죽을 힘으로 살아봐야지...... 왜 남을 죽이냐고??  잘살려고 해봤다고???  뭔 개소리야?? 그냥 너가 허황된 꿈을 꾼거야~~ 인생 엿같은데 다른이랑 같이 가자 였겠죠 ......
1년 전,"끔찍합니다
제발사형시켜주세요"
1년 전,"햐 지옥이다 
천민자본주의😮"
1년 전,사형제도 찬성 합니다
1년 전,힘들어서 그랬습니다. 깜빵들어가면 맥여주고 재워주고 공부시켜주고 기술가르쳐주고 개꿀이거든여
1년 전,칼버리세요. 하지 말고 범인의 손에 칼 있을때 무차별적으로 범인을 때리세요 ㆍ저런 범죄자검거는 무섭게 고통스럽게 검거한다는 걸 보여줘야 합니다ㆍ
1년 전,죄없는 사람에게 화풀이겸 살인을 한 시점부터 가엾어보일수가없음. 넌 힘들면 그냥 혼자 갔어야했어
1년 전,그리힘들면저만죽지
1년 전,정신들   차려라    그런일  번번히  일어날   일이다   왜 이지경 까지  됐는지   곰곰히  생각  해보고  미연에  방지해야지    숫자놀음만  가르칠 것이   아니라   인성교육을  중점적으로   가르처야한다   공교육의   비뚜러진    모순덩어리  때문이다
1년 전,"칼버리고 바닥에 엎드려!!!!
이래야지!!!"
1년 전,"살인자는  자신도 죽도록 공포를
느껴야합니다"
1년 전,능지가 답이다 아님 죽을때까지 태형으로...
1년 전,20대 무슨잘못이고
1년 전,"힘든거랑 살인이랑 무슨상관이냔말에.... 
생각해보니 맞는말이거든 할말없으니 죄송하단말밖에"
1년 전,미국에서는 바로 사살.
1년 전,힘들면 너혼자 조용히 죽었어야지.. 아무 죄없는 사람들을 왜 죽이냐? 그 죗값을 어찌 다 받으려고.. 에휴...
1년 전,"경찰개혁을 해야하는데 
류삼영이 출구조사 1위였는데 
개표에 문제가 있는지 
나베가 되어서 
경찰개혁은 4년 뒤에나 되겠구만ㅉㅉ
미국처럼 저런 파렴치한 현장살인범에게 
쁘리~즈!!!!하며 고함치고 
대들면 바로 쏴서 강하게 한번에 제압을 해야하는데 
그놈의 범죄자 인권 아휴...."
1년 전,묻지마도 올바르게해라..문제일으키는 인간들한테
1년 전,"칼버리세요
 할말이없네 저러넘은 무기징역이 안이라
태형을해야 죽은낭자들을 위로하는겁니다"
1년 전,사형이 안된다면 현장사살 해야 됩니다😮
1년 전,호주는바로 경찰이 총살했음
1년 전,사형시켜라 그래야 저런 유형 사고가 안일난다
1년 전,"살기 힘들면..
지 혼자 죽지."
1년 전,제발 사형…..
1년 전,"우리선진국 나라도 살인마는 미국선진국  따라 바로 처벌 합시다.
다른것은 잘따라 하더니 이런 강력 범죄 는 왜 미국 따라 안한는데...
다른 강력 범죄 또한...
법 이제 바꿀때 안됐나 이사람 들아...!!"
1년 전,"칼 내려놓아주십시요. 제발 그렇게 해주십시요...
테이져건을 쏠줄 모르나??"
1년 전,살인범죄엔 사형제도 부활 해야한다.
1년 전,앞으로 평생 더 힘들어질거다
1년 전,"저런건 인권이 필요없다.
맹수도 사살하는데
동물보다 못한 살인마는 
왜 안죽이냐?
벌집을 만들어놔야지?"
1년 전,"이런놈은 목어놓고 조사야되는데.
죽지못하게하고 계속 조사야되."
1년 전,"😮😮😮😮😮
살인마한테 경어 쓰는 경찰 용어는 
대한민국의 법인가 !!!!! 
😠😠😠😠😠"
1년 전,사형제도만들어야합니다
1년 전,그런다고 살인을해?ㅠㅠ죽은사람은 뭔죄지?
1년 전,이게  나라가  엉망이라  이런결과들이  생기는거임!!  사는게  어렵고 힘들고 해결방안은 없고 하다보니 살인  자살  범죄를  만들게 된다  그렇다고 정당하지않고 처벌할일들이지만   나라가 좀 바로서야  이런 사건도 줄어든다!!!  😢😢😢
1년 전,경찰 보자마자 앉는게 웃끼네 도망가면 테이건 맞을까봐?총 맞을까봐?
1년 전,현실이 힘든건 다똑같은데 죽기살기로 노력은 안하고 남을 죽이냐 😮‍💨
1년 전,살인자는 진짜 어디 가둬놓고 먼 인류를 위해 생체실험에 씌여야함
1년 전,사형을 실시하지 않는다면 이런범죄는 절대 줄어들지않는다
1년 전,저런 해충에게 존댓말까지 써가면서 어린이 처럼 나약하게 만들어 놓은 공권력 안타깝기 짝이없다
1년 전,도라인가
1년 전,정부가 썩으면 국민도 범죄가 늘어난다
1년 전,아걔 ㅆㅣㅣ밣섂키 하....
1년 전,캘배리새얘~ ㅈㄴ 하찮은데
1년 전,사형
1년 전,사형찬성
1년 전,"너무 힘들어서 뭐라도 찌르고싶었으면 스스로부터 찌르시지,,,,왜 죄없는 사람부터 찌르고 본인은 사지가 멀쩡함,,?"
1년 전,뭘 칼버리세요야 실탄이어도 쏴버려야지 어휴
1년 전,사형집행을 도대체 언제까지 안할건가
1년 전,칼들고 사람들은 쑤시고 다녀서 죽은 사람도 있는데 역시 대한민국 ㅋㅋ 미국이였음 탕탕탕!
1년 전,사형제도 분명있어야한다
1년 전,요즘 덩크 신은놈들이 살인 폭행 부산 뒷둘려차가범도 덩크 ㅋㅋ
1년 전,안힘들고 열심히 안사는사람이 어디에 있을까?제대로된 노력하나 해보긴했을까?힘들었다쳐도 죄없는사람들 죽인거는 진짜 사형당해야됨
1년 전,"저거 사형바로해야되요
먹고싸고만할텐데 우리나라 법이 너무약해요"
1년 전,자포자기식 살인행각… 불쌍한 사람들… 힘들게 살고있네. 앞으로도 더욱 힘들어질텐데 윤석열 때문에..
1년 전,경찰이 존대말을 하네! 상황에 맞게 대처를 해
1년 전,돌아가신 청년 너무 안타가워
1년 전,무서운세상  사람이 무섭다
1년 전,또 심신미약??
1년 전,"버리세요 감사합니다
ㅎㅎㅎㅎㅎ"
1년 전,"세상이  개같으니 이런일이  있는거다....
정치가  개판이라서
정부가 개판이라서
윤뜽이 개판이면  이런일이  있는것이다"
1년 전,묻지마 살인이네 열심히 살았는데 힘들어서 지나가는 사람들을 살인했다 말이나 되는 소리니 이런이런 ..
1년 전,"이게 윤석열 때문이다.
경제가 어려울 수로 저렇 극단적인 범죄가 많아진다."
1년 전,"누군 가난하게 태어나 서럽고 
누군 앞으로 의 미래를 생각하며 두려워함
누군가는 자신이 쌓은 부를 불리고 지키려 노력함
누구는 필사적으로 살아가려 애쓰고
누구는 가족을 위해 싫은일도 하려함
어디에선 자신이 하는일에 회의를 느끼고 

모두가 힘들게 살아가는 세상에서 본인만 힘든줄 아나  더이상 자신 없으면 죽어야지  본인이 남을 죽임으로 아무일 없었을 피해자 가족들에게 무슨 피해를 주는거냐 

남을 죽인자는 죽음으로 속죄해라 아니 지옥에가서도 영원히 찢어져 버려라"
1년 전,칼좀 휘두를수 있지~
1년 전,"짜증나서
힘들어서
라면 니배를 찔러야지 
에휴 참 안타까운생명은 어쩌라고"
1년 전,"사형집행 해야 한다
제발 ~~!!

삼청교육대 부활~!!"
1년 전,전 직장 사람들이 말하길 심각한 도박 중독이였답니다 도박은 사람을 저렇게 망칩니다
1년 전,윤석렬 지지자
1년 전,"저런악마한테 칼버리세요,잘했다고 해야하나??ㅠㅠ ㅠㅠ"
1년 전,사형좀 해요
1년 전,저 또라 한사람 때문에 멀쩡한. 앞날이창창한 청년들이 목숨을 잃은게 너무너무 억울하다. 이런사람은 감금해서 세상밖을 못나오게해야한다
1년 전,사형 부활해야하는데..이런말하면 범죄율  안줄어든다고 떠드는 놈들이 있던데..그 가족이 당해봐야 동의할려나? 가해자를 생각하는 법이 필요한것이 아니라 피해자와 그 가족을 위한 법이 있어야 하는것 아닌가?  사형시켜라!
1년 전,"현장 피의자한테 부탁하지말고 명령합시다
칼버려"
1년 전,칼 버리세요가 뭐냐 저딴 쓰레기한테
1년 전,"징역가면 좋은점

1. 집을 준다
2. 밥을준다
3. 심심할까봐 기술 예체능교육
4. 매달 용돈
5. 교도소 행사 및 종교활동
6. 옷제공
7. 가끔 이벤트
8. 신설은 에어컨 난방기.다됨.
살기좋으니. 바깟 사회보다 교도소가 더 편함^^.
세금도 안뜯어감"
1년 전,무고한 사람들한테 이러면 욕만먹는거야 요즘 바쁜사람들있잖아 일도하지않고 권력만생각하는ᆢ차라리 그랬으면 반반은되겠지
1년 전,칼버리세요 그사이 또다른 칼춤을 출수있는데 인권은 인간에게 적용하고 흉악범은 바로발포해라
1년 전,"저런거 보면  목숨걸고 나설필요 없습니다 신고나 해주고  갈길가면됩니다
뭐라도 들고 때리면 상해로 같이 처벌받습니다"
1년 전,사형집행 해야된다
1년 전,힘둘면  지 목에다가 칼빵허지 그럴 용기도 없는놈이 이런짓 하내 ㅡㅡ..
1년 전,법이 약해서
1년 전,칼 버려! 이래야지 아이고 참
1년 전,칼버려 그내야지 존칭은?
1년 전,경찰내규 같은거 바꿔야 합니다. 저런 흉악범에게는 제압 차원에서 존칭을 쓰면 안됩니다. 웃기고 어색하잖아요.
1년 전,"힘들면 윤디올이 찾아가지!
돼통령실 제대로 같은데!"
1년 전,저혼자 죽지 애메한사람들은 왜죽여
1년 전,살해동기가 참 일베스럽네
1년 전,저런 쓰레기한테도 존대를 해줘야하는구만
1년 전,삶이 얼마나 힘들었으면.. 앞으로도 같은 이유로 범죄가 발생된다면 계속해서 피해자가 생길 테니 화가 나는 순간의 감정이나 슬픔을 올바르게 해소할 수 있도록 알려드릴 사람이 필요해 보여요
1년 전,이건 사형이 답이네요 제발 제발 사형부활 하세요  왜이런  인간들때문에 죄없는  사람이  희생당해야  하나요  사형이 시급합니다
1년 전,저런건 무조건 사살해야지 뭔 칼버리세요??
1년 전,저시키  저시키임..
1년 전,"말이  필요없어요
무자비한  살인자
사형선고를  부탁드립니다"
1년 전,걍무더!
1년 전,얼마나 안전한나라면 도보경찰이없어도 되려나 언제까지...😊
1년 전,화풀이를 남탓으로 하는건 미성숙한 행동이며 불평풀만과 변명일 뿐입니다.
1년 전,ㅅㅂ 코난이냐
1년 전,악마=사형!!
1년 전,사형제 하루빨리 실시해주시길
1년 전,"❤요한일서 5:19,,, 온 세상​은 악한 자​의 지배 아래 있다는 것​을 우리​는 압니다. ❤계시록12:12,,, 땅​과 바다​에는 화​가 있다. 마귀​가 자기​에게 시간​이 얼마 남지 않은 것​을 알고 몹시 화​가 나서 너희​에게 내려갔기 때문​이다.”  ❤요한12:31 이제 이 세상​에 대한 심판​이 있습니다. 이제 이 세상​의 통치자​가 쫓겨날 것​입니다.   ❤잠언 2:21-22 올바른 자​들​만 땅​에 거하고 나무랄 데 없는 자​들​만 땅​에 남아 있을 것​이다.  22 악한 자​들​은 땅​에서 끊어지고 배신자​들​은 땅​에서 뽑힐 것​이다."
1년 전,"저런게 사형도 않당하고
죽은 사람들만 억울하지."
1년 전,"마
니
부모님분들
생각하면
그짓거리 못한다
죄값 달리받아라
인생종쳤다"
1년 전,나도 저런적 있었는데~ 같이 ㅈㄹ하니깐~ 도망 가던데~
1년 전,부모들까지 사형!
1년 전,이유가 필요없고  사형!
1년 전,"칼 버려 <-- 이게 맞지 않나 ㅠ , 칼 버리세요 라니, 피의자에게 까지 존칭써야하는 이 현실은 인권위랑 선출직 정치인들이 만든 대환장 콜라보인가..."
1년 전,나라가 어수선하고 경제가 나빠지면 무작위 범죄는 심해진다
1년 전,니가힘든걸 왜  죄없는사람을 해치나 능지처참해야함 지금부터 밥도주지마라 ~말같은 소릴해야지~
1년 전,증거가 확실하면 사형 집행해라.
1년 전,참  기가찬다
1년 전,"칼버리세요 가 아니고 총으로 쏴버려야지...
미국처럼 좀 해라 ... 그래야 무서운줄 알지"
1년 전,한마디로 지 혼자 죽기 싫은거지
1년 전,윤석열 이답
1년 전,재판하지말고 묻지말고 사형하라.
1년 전,힘들다고 아무나 죽이나??개판사들도 있는데!!
1년 전,힘들면 그냥 뒈질것이지 일면식도 없는 죄 없는 사람들을 죽이냐~~
1년 전,인간은 지랄을 언재까지할까
1년 전,"이찍. 들은 모르지.  자유만 외치면 되는줄알지.
그 자유라는거는 힘있는자가. 마음대로 하는 그런거.   복지는 최선의. 범죄예방이 된다는걸."
1년 전,니만힘드냐 어디사람을 찌를고뎅기노 능력없는건 니탓~!!
1년 전,저 지랄 하고 앉아 있는데 테이져건 한방 안쏘고 뭐하냐
1년 전,"다 ㅈ같아서 죽였다고 이미 살해 동기를 밝혔는데 왜 또 물어봐
실수였다고 말 할 때까지 물어보려고 하나?"
1년 전,"대채 사형집행은 언제풀리려나 
형이가벼워서 묻지마살인한듯요"
1년 전,"갈수록 범죄는 더욱 악랄해지는데 왜 사형을 부활
시키지 않는건가?"
1년 전,힘들면 본인이뒤지면되지 열심히힘들어도착하게사는소중한생명을왜죽이냐
1년 전,똑같이 당해봐야 죽음의 공포를 느낄겁니다
1년 전,"남즉이고 변명이라…
쓰래기란 말도 아깝다."
1년 전,왜 이런사람 을   살려  두는지    무조건  사형이지  남을 죽였는데  살려  두는게   잘못돈사회야    무조건  사형이 답이다
1년 전,제발 사형제도 부활이 필요합니다 죄없는 젊은 일반인을 죽이고도 살려두는건 안됨
